req_text;profession
No fim do ano passado, quando ainda tinha duas empregadas registradas no eSocial (uma de licença maternidade e outra em caráter temporário), após preencher os dados da recisão de contrato de uma delas, geraram-se duas guias DAE, ambas referentes - explicitamente - a está empregada com o contrato terminado. Uma das guias tinha data de vencimento de 05/01/2018 e, nas observações, constava que se tratava de 13o. No início deste mês de janeiro, fui fechar a folha de pagamento da empregada afastada e gerou-se, além da “folha de pagamento” com o valor do salário-família, um DAE (07.16.17365.94815-1) sem informação, com data de vencimento de 05/01/2018. E gostaria de entender do que se trata.;academic
Prezado(a), Solicito o relatório individual dessa unidade sobre o Índice de Governança em Tecnologia da Informação (Índice Igov2014 - TCU). Atenciosamente, Stenio (85) 9 8645.1524;government
Gostaria de ter acesso aos dados financeiros, planilhas e possível plano de negócios da cooperação técnica realizada no Timor Leste em virtude do amparo fornecido por Brasil e Portugal àquele país.;government
Boa tarde. Necessito dos arquivos mencionados abaixos. Os links informados não possuem correspondência virtual. As informações foram retiradas de determinada dissertação de mestrado. Pelo banco de dados da página do CADE não consegui encontrá-los. CUEVA, R.V.B. O Caso CVRD – Análise conjunta dos sete atos de Concentração – Relatório do CADE. disponível na página da internet: http://www.cade.gov.br/jurisprudencia/arquivosPDF/Relatório-AC-2000-08012-000640-CVRD. Publicado em 02/08/05, Brasília. CUEVA, R.V.B. O Descruzamento Societário entre a CVRD e CSN. Relatório do CADE. Publicado em 02/08/05. Disponível na página da internet: http://www.cade.gov.br/jurisprudencia/arquivosPDF/Relatorio-AC-2000-08012-005226-CVRD-CSN.pdf. CUEVA, R.V.B. O Caso CVRD – Voto. Publicado em 10/08/05, Brasília. Disponível na página da internet: http://www.cade.gov.br/jurisprudencia/arquivosPDF/voto-CVRDCueva. pdf. Grata. Lívia;academic
gostaria de solicitar cópia do regulamento de licitações e contratos para estudo;government
Bom dia! Sou aluno da Unb e vou fazer um trabalho de conclusão de curso sobre a adoção de novas tecnologias por usuários de serviços públicos. Diante disso, gostaria de saber porque o serviço de emissão de CPF solicitado pela Internet é disponível apenas para cidadãos entre 16 e 25 anos, conforme disposto no site da Receita Federal? Ainda, gostaria de receber dados dos últimos 3 anos (2016, 2017 e 2018) da forma de acesso ao documento (quantidade e percentual). Por exemplo: CPF emitidos pela Internet e pelas entidades conveniadas, extraindo entre as conveniadas os emitidos pelos Correios. Fico no aguardo e grato pela atenção. Atte., Nery;government
"Quantos servidores exercem suas atividades no cargo ""técnico-administrativo"" são lotados e Brasília? Quais as capitais que a ANP tem sede? Agradeço.";academic
Quais as normas e legislações que fundamentam as descrições sumárias das atividades do cargo de contador do Poder Executivo Federal descritas abaixo: AGU - ADVOCACIA GERAL DA UNIÃO CONCURSO PÚBLICO PARA PROVIMENTO DE VAGAS EM CARGOS DE NÍVEL SUPERIOR EDITAL Nº 01/2006 - AGU/SGAGU, DE 18 DE SETEMBRO DE 2006 2.1.2. Contador, Código: CON 2.1.2.1. Pré-requisitos: Graduação concluída em Ciências Contábeis e registro no CRC - Conselho Regional de Contabilidade. 2.1.2.2. Descrição sumária das atividades: supervisão, coordenação ou execução, em grau de maior complexidade, relativas à contabilidade e à administração financeira e patrimonial, empreendendo balancetes, balanços, registros e demonstrações contábeis.;government
Com o intuito de utilizar as informações aqui obtidas na elaboração de um trabalho acadêmico, que objetiva analisar os custos associados ao serviço de transporte institucional oferecido pelas Instituições Federais de Ensino (IFE), solicito por gentileza o repasse das seguintes informações: 1 – A UNIPAMPA possui algum “Contrato de Locação de Veículos vigente” no momento ? 1.2 – Se resposta para o item 1 tiver sido SIM, pergunto: A UNIPAMPA possui quantos “Contrato de Locação de Veículos vigentes” com esse objeto (mesmo que em diferentes variações do objeto) ? 1.3 – Ainda se a resposta para o item 1 tiver sido SIM, solicito por gentileza que me sejam encaminhadas – em arquivo digital – cópia dos seguintes respectivos documentos de todos os “Contrato de Locação de Veículos vigentes”: 1.3.1 – EDITAL(is) E TODOS OS ANEXOS DO(s) PREGÃO(ões) ELETRÔNICO(s) QUE ORIGINOU(aram) A(s) REFERIDA(s) CONTRATAÇÃO(ões), 1.3.2 – ATA(s) DE ENCERRAMENTO DO(s) PREGÃO(ões), CONTENDO A RELAÇÃO DAS PROPOSTAS VENCEDORAS, (Caso a resposta para a Pergunta nº 1 tiver sido SIM - e considerando ainda o encaminhamento dos arquivos solicitados nos itens 1.1 ou 1.2 , gentileza desconsiderar as próximas duas perguntas, dos itens 2 e 3, que só precisam ser respondidas caso a resposta para o item 1 tenha sido NÃO) 2 – Caso a resposta para o item 1 tenha sido NÃO, pergunto: existe algum processo de contratação do referido objeto (Contrato de Locação de Veículos) em curso no momento ? 2.1 – Se resposta para o item 2 tiver sido SIM, pergunto: qual o(s) nº desse(s) processo(s) de contratação ? 3 – Caso a resposta para o itens 1 e 2 tenham sido NÃO, pergunto: existe algum estudo que a UNIPAMPA tenha feito no passado ou esteja fazendo no presente com o objetivo de analisar a possibilidade de vir à contratar esse serviço (de locação de veículos) no futuro ?;government
Com meus cordiais cumprimentos, envio a mensagem para solicitar as seguintes informações: a) o montante recebido pela UNILA em 2016 para o desenvolvimento das ações do PNAES, b) o montante utilizado pela UNILA em 2016 para o fomento das atividades do PNAES, c) o quantitativo de benefícios concedidos aos estudantes com os recursos do PNAES em 2016.;government
Gostaria de obter mapas e informações (estudos/relatórios) atuais sobre o traçado da Ferrovia Norte-Sul Açailândia-Barcarena.;academic
"Prezados Senhores, Considerando a CF de 88, Ao regulamentar o artigo 5º, inciso XXXIII da Constituição Federal, o Brasil, além de garantir ao cidadão o exercício do seu direito de acesso à informação, cumpre, também, o compromisso assumido pelo país ante a comunidade internacional em vários tratados e convenções. Considerando a LAI ( Lei de acesso a informação) - Lei 12.527 de 18 de novembro de 2011, a Lei de Acesso à Informação, o que amplia a participação cidadã e fortalecendo os instrumentos de controle da gestão pública. Considerando que: ""3.1 O Ministério Público insurge quanto à representação judicial da ré pela Advocacia-Geral da União. Alega, também, que “as sanções aplicadas à ré Maíza, por entender estarem em desacordo com o Princípio da Proporcionalidade. O recurso visa tanto majorar a multa aplicada quanto a cumulá-la com outras sanções previstas na Lei de Improbidade.” (...): No julgamento, em vários trechos é destacado o quão reprovável foi a atitude de MAIZA, e a forma como foram violados Princípios da Administração Pública. O Juiz, aliás, chega a referir que, para fins de aplicação da Lei de Improbidade, não é necessário o efetivo prejuízo ao erário, uma vez que o próprio texto legislativo assegura o apenamento tão-somente no caso em que Princípios de Direito Administrativo são corrompidos. "" (O MINISTÉRIO PÚBLICO FEDERAL e a ré MAÍZA BARBOSA MALTEZ, nos autos da AÇÃO DE IMPROBIDADE, ajuizada pelo MINISTÉRIO PÚBLICO FEDERAL, apelam da sentença do MM Juiz Federal da 3ª Vara da Seção Judiciária do Estado de Rondônia, José Humberto Ferreira, que (fls. 532/544)). Além disso, o CONTROLE SOCIAL pode ser ""o conjunto de sanções positivas e negativas a que uma sociedade recorre para assegurar a conformidade das condutas, dos modelos"". (ROSS, 1916). Portanto, solicitamos as cópias de TODOS os pareceres da Sra. Mayza B. Maltez ano de 2008 (nos processos da UNIR) para acesso a informação do cidadão. Dr. Fabrício M. de Almeida (pós-doc) REQUERENTE.";government
CONVENIOS EXERCICIO DE 2010 A 2019;government
Solicito cópia do documento encaminhado que dispõe no ano de 2002, em que o Brasil promoveu o reconhecimento do depósito de denúncias em relação ao artigo 14, da Convenção Internacional sobre a Eliminação de todas as Formas de Discriminação Racial, conforme divulgado pelo sítio oficial da ONU.;government
Sou portador de uma doença degenerativa - Espondilite anquilosante - o que preciso fazer para declarar que sou portador da doença. Tenho um imovel - casa duplex c/ terraço e vem para pagto pela p m cariacica dois IPTU um da casa duplex e um do terraço.Qual devo informar? ou devo informar o iptu do terreno antes da obra, pois a casa nao possui escritura mas o terreno (lote) possui.;government
Não estou conseguindo ter acesso ao cartão de confirmação do enem Nome: poliana da silva Gomes Cpf: 01425304257 Aguardo resposta;academic
Solicito a conta de energia elétrica (de qualquer mês )da instituição para fins estudantis . Preciso fazer um trabalho da faculdade e por isso preciso da conta de energia de uma instituição brasileira . Desde já , agradeço .;academic
Boa noite, gostaria de saber se há alguma previsão para nomeação da 2ª colocada no concurso do MTE realizado em 2014, para o cargo de agente administrativo, com lotação na Gerência Regional do Trabalho e Emprego, localizada no Shopping Copacabana - Rua do Imperador, 625 - 101 - Centro, Petrópolis - RJ, 25620-002, tendo em vista que dois agentes administrativos se aposentaram em 2014, e as vagas não foram ocupadas. Além disso o MTE em Petrópolis está com um déficit muito grande de servidores, causando transtornos a população como já saiu diversas vezes no jornal da cidade. Obrigada !;academic
Solicito informar se a Portaria 1.487, publicado no Diário Oficial da União – DOU em 1º de dezembro de 2014 ainda está em vigência. Caso não esteja, favor informar qual o novo dispositivo legal em vigência. A solicitação ocorre, pois estamos revendo a Portaria da UFTM que trata do mesmo assunto e no preâmbulo de nossa Portaria citamos como referência a Portaria 1.487/2014.;government
em complemento ao Protocolo nº 48700000777201921 e com base no art. 10 e parágrafos da Lei de Acesso à Informação, solicito que informe qual foi a nota de acessibilidade (percentual ASES) atribuída ao website da agência. Caso ainda não tenha sido aferida a nota, que a agência possa esclarecer em qual período de 2019 pretende realizar a avaliação e se há planejamento para implementar e/ou aperfeiçoar os elementos necessários para alcançar o nível AAA do sistema WCAG/W3C;academic
"Conforme informação exarada pela Coordenadora-Geral de Mapeamento e Gestão Territorial do Turismo, no âmbito da Lei de Acesso à Informação, em resposta prévia encaminhada a este cidadão, referente ao Circuito Terras Altas da Mantiqueira, “a Secretaria de Turismo de Minas Gerais nos informou que durante o prazo destinado a atualização do Mapa do Turismo Brasileiro 2016, foi enviado expediente ao Circuito Terras Altas da Mantiqueira solicitando o envio dos documentos comprobatórios exigidos pela Portaria MTur nº 205/2015, no entanto os referidos documentos não foram enviados, fato que impossibilitou a validação da região turística no Mapa do Turismo Brasileiro”. Assim sendo, solicito acesso a: 1. Cópia digitalizada (PDF) de expediente encaminhado pela Coordenação-Geral de Mapeamento e Gestão Territorial do Turismo, ou outra unidade do Ministério do Turismo (MTur) responsável pela atualização do Mapa do Turismo Brasileiro, à Secretaria de Estado de Turismo de Minas Gerais (SETUR-MG), comunicando sobre o “prazo destinado a atualização do Mapa do Turismo Brasileiro 2016” e solicitando “o envio dos documentos comprobatórios exigidos pela Portaria MTurnº 205/2015”, se houver, devidamente assinado e numerado. 2. Cópia digitalizada (PDF) de expediente encaminhado pela Secretaria de Estado de Turismo de Minas Gerais (SETUR-MG), informando ao MTur que, embora a documentação comprobatória necessária à validação do Circuito Terras Altas da Mantiqueira tenha sido solicitada tempestivamente (entre outubro de 2015 e abril de 2016) por aquela Secretaria, os responsáveis pela mencionada região turística não forneceram os documentos exigidos, o que teria inviabilizado sua validação no Mapa do Turismo Brasileiro 2016, se houver, devidamente assinado e numerado. 3. Cópia digitalizada (PDF) de qualquer expediente que comprove que os gestores do Circuito Terras Altas da Mantiqueira, embora tenham recebido solicitação para “envio dos documentos comprobatórios"", não o fizeram.";government
Prezados, gostaria de saber se há alguma previsão de concurso para o preenchimento de cargos nas rádios e TV Universitária?;academic
"SOLICITO CÓPIA DOS SEGUINTES DOCUMENTOS DA UNIVASF, RELATIVOS AO PERÍODO DE 2013 A 2017: BALANÇO ORÇAMENTÁRIO, BALANÇO PATRIMONIAL E DEMONSTRAÇÃO DAS VARIAÇÕES PATRIMONIAIS. INFORMO QUE TAIS DOCUMENTOS SERÃO PARA FINS EDUCACIONAIS, VISTO QUE ESTOU CONCLUINDO O CURSO DE CIÊNCIAS CONTÁBEIS NA UFPE E O TEMA SERÁ ""EVOLUÇÃO DO ORÇAMENTO NA UNIVASF NOS ÚLTIMOS CINCO EXERCÍCIOS"".";government
Em caso positivo é favor fornecer cópia do respectivo contrato. Objetivo: fiscalização da legalidade do exercício profissional das engenharias civil e elétrica;government
Solicito todos os relatórios de fiscalização produzidos pela empresa DIEFRA, tendo como objeto a execução dos convênios a seguir relacionados, firmados com o Governo do Estado do Tocantins, por meio da AGÊNCIA TOCANTINENSE DE SANEAMENTO (ATS): Convênio - 770572/2012 Convênio - 770340/2012 Convênio - 769495/2012;government
Sou servidora federal, pertencente ao IFRR, SIAPE 1396746, atuante no cargo de docente EBTT. Tenho interesse em ser redistribuída para o IFPR e gostaria de saber se há disponibilidade de código de vaga e se o órgão tem interesse no processo de redistribuição.;government
Gostaria de saber se existe na Agência uma Corregedoria estruturada. Além disso, em caso positivo, como este setor se estrutura no Ente, digo, se há uma centralização da corregedoria ou se esta é regionalizada. Por fim, quais os contatos institucionais dos setores responsáveis pela correição, tanto na região Nordeste, como a central, se for o caso.;government
Solicito cópia do processo 23060.000286/2016-90.;government
Prezados, Gostaria de saber qual a jornada de trabalho dos setores responsáveis pelo SIC e pela Ouvidoria desta instituição de ensino, bem como a legislação que fundamenta referida jornada.;government
Gostaria de saber se a Instituição possui comissão de ética constituída, nos termos do Decreto nº 1.171/94 e do Decreto nº 6.029/07.;government
QUESTIONÁRIO Observações: 1) caso a Universidade seja multicampi, favor considerar todos os campi para responder e se possível informar o nome da Unidade/Cidade, 2) alguns conceitos foram colocados, após as perguntas, para auxiliar o respondente. 1)Esta Universidade possui em sua sede ou em algum de seus campi ou unidades um setor/unidade/departamento/comissão específico que atue, exclusiva ou não exclusivamente com resolução de conflitos? ( ) sim ( ) não 2)Atuam com resolução de conflitos entre: ( ) servidores (técnicos-administrativos e professores) ( ) técnicos-administrativos e discentes ( ) técnicos-administrativos e o público externo ( ) professores e discentes ( ) professores e público externo ( ) alunos e alunos 3) (Caso não atuem na gestão de conflitos) Existe alguma intenção por parte dessa Universidade – considerando toda sua estrutura – de criar um setor específico para gerenciar conflitos internos? ( ) sim ( ) não Observações: 4) Qual(is) setor(es) trabalha(m) com resolução de conflitos interpessoais, interdepartamentais, intergrupais e até intrapessoais? ( ) Coordenação, Diretoria, Pró-Reitoria de Gestão de Pessoas ou Recursos Humanos ( ) Ouvidoria ( ) Comissão de Ética ( ) Setor ou Comissão Disciplinar ( ) outro(s) setor(es) Observação: 5) Qual técnica é utilizada na resolução de conflitos? ( ) mediação ( ) conciliação ( ) arbitragem ( ) utiliza outros meios 6) Qual setor atua por meio da mediação? qual por meio da conciliação? e qual por meio da arbitragem? 7)A Universidade não pratica nenhuma técnica de resolução de conflitos. Atua de modo tradicional por meio de abertura de processo de sindicância/disciplinar. Esta afirmação mostra a realidade dessa Universidade? 8)Quando há alguma situação conflituosa, para onde o servidor ou o cidadão, pode encaminhar sua demanda? 9)Existe alguma equipe ou servidor com capacitação específica para tratar de conflitos internos nessa Instituição? ( ) sim, na unidade “X” ( ) não Observações:;government
Gostaria de solicitar o Quadro de Referência dos Servidores Técnicos Administrativos em Educação (QRSTA), especificando quantas vagas estão preenchidas e quantas estão vagas em cada cargo. Gostaria de saber se existe concurso em vigência. Em caso positivo, qual a validade do mesmo? Atenciosamente.;academic
Olá, boa tarde! Solicito os seguintes dados sobre os programas de pós-graduação stricto sensu e a quantidade de alunos bolsistas em números atualizados até junho/2017 (1º semestre ou 2º quadrimestre): - Número de programas de pós-graduação, - Número de alunos regularmente matriculados (separados por nível - mestrado acadêmico/doutorado/mestrado profissional), - Número de bolsas institucionais, CAPES (DS), CAPES (outras), CNPq, Fundação de Amparo à Pesquisa, outras fontes (também separadas por nível). Os dados podem ser preenchidos conforme modelo anexo. Obs: As informações serão usadas para atualização de estudo sobre o quadro nacional de bolsas de pós-graduação nas universidades federais: http://propg.ufabc.edu.br/wp-content/uploads/Bolsas_UFs_2016.pdf;government
Solicito o encaminhamento do Quadro de Referência dos Servidores Técnicos Administrativos da UFSCAR (UNIVERSIDADE FEDERAL DE SÃO CARLOS, referenciando o cargo TAE - ADMINISTRADOR, código 701001. Atenciosamente,;government
Prezados senhores, Por motivo de pesquisa acadêmica relacionada à atuação do Brasil no Oriente Médio, gostaria de solicitar os expedientes listados abaixo: telegramas da embaixada do Brasil em Nicósia de 1 de janeiro de 2010 até 21 de maio de 2017 Gostaria de solicitar os expedientes que façam referência, no índice e ou resumo, a um ou mais dos seguintes termos: Força Tarefa Marítima UNIFIL Líbano Agradeço desde já pela atenção. Cordialmente;academic
Prezado(a) Sr(a), boa tarde. Gentileza verificar o pedido no arquivo anexo. At, Rogério.;academic
"Solicito deste órgão uma declaração informando a PUBLICAÇÃO OFICIAL DE CREDENCIAMENTO COM O MEC dos seguintes Polos de Apoio Presencial da ""UFC Virtual"", órgão de ensino à distância da Universidade Federal do Ceará: 1) Aracati, 2) Campos Sales, 3) Ipueiras, 4) Óros, 5 Piquet Carneiro, 6) Jaguaribe, Segue anexo um memorando do diretor da UFC Virtual informando que esta demanda deve ser enviada a esta diretoria,";government
"Tenho 18 anos, estou cursando o segundo ano do ensino médio. Se eu conseguir passar no Encejja, concluirei o ensino médio esse ano, mas se eu não passar, vou concluir ano que vem. Eis a questão: Na pergunta sobre ""situação em relação ao ensino médio"", respondi assim: Estou cursando o ensino médio, mas não concluirei no ano letivo de 2017. Se eu respondesse que vou concluir esse ano, eu teria que dizer que estou cursando o terceiro ano, mas isso não é verdade. Então pergunto: a.devo continuar com essa opção? b.receberei a nota a tempo de me inscrever no SISU? c.terei problemas ao usar a nota do ENEM no SISU? Aguardo a resposta com urgência.";academic
Por favor, solicito informações referente ao Quadro de Referência dos Servidores Técnico-administrativos (QRSTA) atualizado da UFG, isto é, a relação de cargos de Técnico de Tecnologia da Informação vagos e ocupados com respectivo código de vaga(De 0904340 a 0904346 / vide anexo) de acordo com a publicação da Portaria no Diário Oficial da União, ocorrida em 20 de agosto de 2018, bem como sua unidade de lotação. Caso tenha algum código de vaga que não foi preenchido poderia informar se algum deles está previsto para Regional de Catalão. Grato.;government
VENHO POR MEIO DESTE, SOLICITAR DE VOSSA EXCELÊNCIA, INFORMAÇÃO SOBRE O TRAMITE LEGAL DE CASAMENTO COM ESTRANGEIRO CUBANO. EXPLICO: NAMORO UM CUBANO E PRETENDEMOS NOS CASAR BREVEMENTE. OCORRE QUE O VISTO DELE É PARA PERMANECER NO PAÍS ATÉ ABRIL DE 2019, DATA QUE FINDA O CONTRATO TRABALHISTA DELE(CUBANO). NOSSA DÚVIDA E MEDO É: O PAÍS DELE(CUBA) PODE IMPEDIR O RETORNO DELE AO BRASIL MESMO JÁ ESTANDO ELE CASADO AQUI? OU NÃO IMPEDINDO, PODE CUBA DIFICULTAR O SEU RETORNO DE MODO A PROTELAR A LIBERAÇÃO DE SEU PASSAPORTE? EM CASO AFIRMATIVO, O QUE PODEMOS LEGALMENTE FAZER PARA VIABILIZAR SEU RETORNO? A QUEM DEVEMOS RECORRER? CASO NÃO SEJA O MRE RESPONSÁVEL POR RESPONDER ESTES QUESTIONAMENTOS, PEÇO A GENTILEZA DE ME DIRECIONAREM AO ÓRGÃO COMPETENTE. OBRIGADA.;government
"Estou realizando uma pesquisa para a minha dissertação de mestrado em ""Patrimônio Cultural"", na Universidade Federal de Santa Maria, e gostaria de saber se a referida instituição possui um ""Plano de Preservação Digital"" ou alguma política que siga parâmetros estabelecidos pelo Conselho Nacional de Arquivos e a Câmara Técnica de Documentos Eletrônicos em Preservação Digital? Se sim, qual foi a metodologia utilizada e se é possível encaminhar o referido documento para o meu e-mail?";academic
Gostaria de saber como posso obter pelo IBGE uma declaração do tempo em que trabalhei contendo todas as informações convenientes ao cargo. O período em que trabalhei foi no Censo 2010 como ACI em Salgueiro/PE. Desde já grato.;government
Solicito a ata do colegiado de engenharia elétrica de numero 01, 02, e 03 de 2018.;academic
Boa tarde, Gostaria de saber se seria possível disponibilizar os valores das transferências fundo a fundo para municípios referentes ao Programa Saúde na Escola (PSE) para cada mês, contemplando o período de 2008 a 2015. Encontrei no site da SAGE o detalhamento do bloco de atenção básica apenas para cada ano, mas não mensal. Agradeço desde já a ajuda.;academic
Considerando as informações dispostas no Painel de Compras governamentais, solicito a verificação e informação dos dados a seguir, visto que não estão publicizados.;government
SOLICITO INFORMAÇÕES DE CARGOS VAGOS NIVEL D- E AO MESMO INSTANTE DADOS PARA PREENCHIMENTO DE CARGO POR REDISTRIBUIÇÃO.;academic
Prezados Olá! Sou pesquisadora do programa de pós-graduação em psicologia social e institucional da UFRGS e realizo uma pesquisa documental sobre as condições de saúde dos servidores federais da saúde. Não localizei isso nos relatórios disponibilizados pelo MPOG. É possível informar o número total de servidores ativos no Rio Grande do Sul e o levantamento, nos últimos 02 anos dos acidentes e doenças relacionadas ao trabalho destes servidores? Gostaria de obter dados estatísticos (sem identificação das pessoas), mas de forma detalhada, estratificados por data, CID, período de afastamento, incluso aposentados por invalidez com CID, idade, sexo e cargo? Obrigada pela atenção, Fabiane;academic
Solicito a seguinte informação: qual dia e qual funcionário fez a atualização do prazo de entrega das encomendas internacionais no sistema dos correios, adequando com a mudança decidida pela empresa no dia 09/01/2018? Até esta data o prazo era de 40 dias corridos e nesta data foi alterada para 40 dias úteis.;academic
Gostaria de saber qual o número atual de Pregoeiros que a UFPA possui e em quais unidades e/ou campus eles atuam.;government
Solicito informações sobre as sanções e multas referentes ao não cumprimento das condições estabelecidas nos contratos de obras e serviços por parte das empresas contratadas pela Universidade Federal de Rondônia-UNIR no período de 2014 a 2016.;government
Ao núcleo de concursos desta universidade, Sou Rosana de Paula, acadêmica do curso de psicologia da Universidade Federal do Paraná. Faço um trabalho junto ao NEAB-UFPR, pesquisando quantas universidades brasileiras têm Cotas Quilombola em seu processo de ingresso na graduação. Venho por meio desta carta solicitar sua contribuição para a pesquisa. Existem Cotas Quilombola nesta instituição? Se existe, poderiam encaminhar-me os editais e resoluções. Já fiz a pesquisa pelo site e nem sempre esses editais e resoluções estão disponíveis. Cordialmente, Rosana de Paula Email: psicosanna@gmail.com;academic
Em complemento a pedidos de informações registrados anteriormente, solicita-se informações acerca dos dois questionamentos a seguir: 1) Quanto tempo de existência possui a UNILA? Qual o ano de fundação? 2) Quantos arquivistas a UNILA possui em seu quadro de pessoal?;government
Qual o percentual da verba que é dada ao Napne e se os integrantes que compõem o Napne são efetivos?;academic
Amparado no Decreto DECRETO Nº 9.373, DE 11 DE MAIO DE 2018 e visando subsidiar pesquisa, solicito as seguintes informações quanto aos bens móveis desse Ministério que sofreram processo de baixa patrimonial (Desfazimento), nas seguintes condições: Anos 2017 e 2018: -OCIOSO: QUANTIDADE- VALOR TOTAL- DESTINO DADO- -RECUPERÁVEL: QUANTIDADE- VALOR TOTAL- DESTINO DADO- -ANTIECONÔMICO: QUANTIDADE- VALOR TOTAL- DESTINO DADO- -IRRECUPERÁVEL: QUANTIDADE- VALOR TOTAL- DESTINO DADO-;government
OPrezados sr Gostaria de receber a cópia da ata 33ª REUNIÃO ORDINÁRIA - 04 e 05.09.2012. No site só consegui baixar a pauta e gostaria de ter acesso à ata. Att M do Carmo;government
